No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,contactBinary,detachedBinary,dsct,t2Cep,All
12400 < 12500,RRc,0,0,0,3,0,0,0,0,0,0,3
12500 < 12600,RRab,0,0,15,0,0,0,0,0,0,0,15
12500 < 12600,RRc,0,0,0,8,0,0,0,0,0,0,8
12500 < 12600,contactBinary,0,0,0,0,0,0,1,0,0,0,1
12600 < 12700,RRab,0,0,13,0,0,0,0,0,0,0,13
12600 < 12700,RRc,0,0,2,9,0,0,0,0,0,0,11
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,3,3
12700 < 12800,RRab,0,0,120,1,0,0,0,0,0,0,121
12700 < 12800,RRc,0,0,0,52,0,0,0,0,0,0,52
12700 < 12800,detachedBinary,0,0,0,0,0,0,0,1,0,0,1
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,4,4
12800 < 12900,RRab,0,0,12,0,0,0,0,0,0,0,12
12800 < 12900,contactBinary,0,0,0,0,0,0,1,0,0,0,1
12900 < 13000,RRab,0,0,8,0,0,0,0,0,0,0,8
12900 < 13000,RRc,0,0,0,4,0,0,0,0,0,0,4
1300 < 1400,Mira,450,0,0,0,0,0,0,0,0,0,450
1300 < 1400,RRab,0,0,36,1,0,0,0,0,0,0,37
1300 < 1400,RRc,0,0,1,19,0,0,0,0,0,0,20
1300 < 1400,SRV,0,0,0,0,8,0,0,0,0,0,8
1300 < 1400,clasCep,0,0,1,0,0,0,0,0,0,0,1
1300 < 1400,contactBinary,0,0,0,0,0,0,3,0,0,0,3
1300 < 1400,dsct,0,0,1,0,0,0,1,0,15,0,17
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,3,3
13000 < 13100,RRab,0,0,10,0,0,0,0,0,0,0,10
13000 < 13100,RRc,0,0,0,6,0,0,0,0,0,0,6
13100 < 13200,RRab,0,0,34,0,0,0,0,0,0,0,34
13100 < 13200,RRc,0,0,0,16,0,0,0,0,0,0,16
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,1,1
13200 < 13300,RRab,0,0,12,0,0,0,0,0,0,0,12
13200 < 13300,RRc,0,0,0,2,0,0,0,1,0,0,3
13200 < 13300,t2Cep,0,0,1,0,0,0,0,0,0,0,1
13300 < 13400,RRab,0,0,13,0,0,0,0,0,0,0,13
13300 < 13400,RRc,0,0,0,2,0,0,0,0,0,0,2
13400 < 13500,RRab,0,0,7,0,0,0,0,0,0,0,7
13400 < 13500,RRc,0,0,0,5,0,0,0,0,0,0,5
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,1,1
13500 < 13600,RRab,0,0,14,0,0,0,0,0,0,0,14
13500 < 13600,RRc,0,0,1,6,0,0,0,0,0,0,7
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,1,1
13600 < 13700,RRab,0,0,33,0,0,0,0,0,0,0,33
13600 < 13700,RRc,0,0,0,16,0,0,0,1,0,0,17
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,2,2
13700 < 13800,RRab,0,0,77,0,0,0,0,0,0,0,77
13700 < 13800,RRc,0,0,1,26,0,0,0,0,0,0,27
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,4,4
13800 < 13900,RRab,0,0,541,0,0,0,0,0,0,1,542
13800 < 13900,RRc,0,0,2,180,0,0,0,1,0,0,183
13800 < 13900,clasCep,0,0,0,0,0,1,0,0,0,0,1
13800 < 13900,t2Cep,1,0,1,0,0,0,0,0,0,30,32
13900 < 14000,RRab,0,0,6,0,0,0,0,0,0,0,6
13900 < 14000,RRc,0,0,0,2,0,0,0,0,0,0,2
13900 < 14000,t2Cep,0,0,1,0,0,0,0,0,0,0,1
1400 < 1500,Mira,242,0,0,0,0,0,0,0,0,0,242
1400 < 1500,RRab,0,0,115,1,0,0,0,0,0,0,116
1400 < 1500,RRc,0,0,3,52,0,0,0,0,0,0,55
1400 < 1500,SRV,0,0,0,0,19,0,0,0,0,0,19
1400 < 1500,contactBinary,0,0,1,0,0,0,3,0,0,0,4
1400 < 1500,detachedBinary,0,0,1,0,0,0,1,10,0,0,12
1400 < 1500,dsct,0,0,1,0,0,0,0,0,15,0,16
1400 < 1500,t2Cep,0,0,1,0,0,0,0,0,0,4,5
14000 < 14100,RRab,0,0,7,0,0,0,0,0,0,0,7
14000 < 14100,RRc,0,0,0,1,0,0,0,0,0,0,1
14100 < 14200,RRab,0,0,4,0,0,0,0,0,0,0,4
14100 < 14200,RRc,0,0,0,1,0,0,0,0,0,0,1
14200 < 14300,RRab,0,0,8,0,0,0,0,0,0,0,8
14200 < 14300,RRc,0,0,0,6,0,0,0,0,0,0,6
14200 < 14300,t2Cep,0,0,0,0,0,0,0,0,0,1,1
14300 < 14400,RRab,0,0,7,0,0,0,0,0,0,0,7
14300 < 14400,RRc,0,0,0,7,0,0,0,0,0,0,7
14400 < 14500,RRab,0,0,10,0,0,0,0,0,0,0,10
14400 < 14500,RRc,0,0,0,3,0,0,0,0,0,0,3
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,1,1
14500 < 14600,RRab,0,0,8,0,0,0,0,0,0,0,8
14500 < 14600,RRc,0,0,0,2,0,0,0,0,0,0,2
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,2,2
14600 < 14700,RRab,0,0,7,0,0,0,0,0,0,0,7
14600 < 14700,RRc,0,0,0,2,0,0,0,0,0,0,2
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,1,1
14700 < 14800,RRab,0,0,7,0,0,0,0,0,0,0,7
14700 < 14800,RRc,0,0,0,6,0,0,0,0,0,0,6
14800 < 14900,RRab,0,0,46,0,0,0,0,0,0,0,46
14800 < 14900,RRc,0,0,1,17,0,0,0,0,0,0,18
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,1,1
14900 < 15000,RRab,0,0,262,0,0,0,0,0,0,0,262
14900 < 15000,RRc,0,0,0,125,0,0,0,0,0,0,125
14900 < 15000,clasCep,0,0,0,0,0,1,0,0,0,0,1
14900 < 15000,t2Cep,0,0,0,0,0,0,0,0,0,8,8
1500 < 1600,Mira,29,0,0,0,0,0,0,0,0,0,29
1500 < 1600,RRab,0,0,307,6,0,0,0,0,0,0,313
1500 < 1600,RRc,0,0,9,139,0,0,1,0,0,0,149
1500 < 1600,contactBinary,0,0,0,0,0,0,3,0,0,0,3
1500 < 1600,detachedBinary,0,0,0,0,0,0,0,9,0,0,9
1500 < 1600,dsct,0,0,0,0,0,0,1,0,11,0,12
1500 < 1600,t2Cep,1,0,3,0,0,0,0,0,0,13,17
15000 < 15100,RRab,0,0,39,0,0,0,0,0,0,0,39
15000 < 15100,RRc,0,0,0,10,0,0,0,0,0,0,10
15000 < 15100,clasCep,0,0,0,1,0,0,0,0,0,0,1
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,4,4
1600 < 1700,Mira,60,0,1,0,0,0,0,0,0,0,61
1600 < 1700,RRab,0,0,242,5,0,0,0,0,0,0,247
1600 < 1700,RRc,0,0,6,78,0,0,0,0,0,0,84
1600 < 1700,clasCep,0,0,0,0,0,2,0,0,0,0,2
1600 < 1700,dsct,0,0,0,0,0,0,0,0,1,0,1
1600 < 1700,t2Cep,0,0,0,0,0,0,0,0,0,10,10
1700 < 1800,Mira,60,0,0,0,0,0,0,0,0,0,60
1700 < 1800,RRab,0,0,261,4,1,0,0,1,0,0,267
1700 < 1800,RRc,0,0,6,114,0,0,0,0,0,0,120
1700 < 1800,clasCep,0,0,1,0,0,2,0,0,0,0,3
1700 < 1800,dsct,0,0,0,0,0,0,0,1,0,0,1
1700 < 1800,t2Cep,0,0,1,0,0,0,0,0,0,10,11
1800 < 1900,Mira,35,0,0,0,0,0,0,0,0,0,35
1800 < 1900,RRab,0,0,151,2,0,0,0,0,0,0,153
1800 < 1900,RRc,0,0,1,61,0,0,0,0,0,0,62
1800 < 1900,clasCep,0,0,0,1,0,0,0,0,0,0,1
1800 < 1900,dsct,0,0,0,0,0,0,1,0,0,0,1
1800 < 1900,t2Cep,0,0,1,0,0,0,0,0,0,13,14
1900 < 2000,Mira,5,0,1,0,0,0,0,0,0,0,6
1900 < 2000,RRab,0,0,458,7,0,0,0,1,0,0,466
1900 < 2000,RRc,0,0,16,195,0,0,0,0,0,0,211
1900 < 2000,clasCep,0,0,0,0,0,1,0,0,0,0,1
1900 < 2000,contactBinary,0,0,0,0,0,0,1,0,0,0,1
1900 < 2000,dsct,0,0,0,0,0,0,0,0,1,0,1
1900 < 2000,t2Cep,2,0,3,0,0,0,1,1,0,24,31
200 < 300,Mira,621,0,0,0,1,0,0,0,0,0,622
200 < 300,OSARG,0,447,0,0,22,0,1,1,0,0,471
200 < 300,RRab,0,0,167,4,0,3,4,1,0,2,181
200 < 300,RRc,0,0,3,76,0,1,3,0,0,0,83
200 < 300,SRV,4,9,3,2,934,3,39,1,0,2,997
200 < 300,clasCep,0,0,1,1,1,146,3,0,2,0,154
200 < 300,contactBinary,0,0,4,2,0,1,1327,122,0,0,1456
200 < 300,detachedBinary,0,1,0,2,0,0,29,1642,0,1,1675
200 < 300,dsct,0,0,0,0,0,0,1,0,14,0,15
200 < 300,t2Cep,1,0,2,0,0,0,1,1,0,35,40
2000 < 2100,Mira,5,0,2,0,0,0,0,0,0,0,7
2000 < 2100,RRab,0,0,8,0,0,0,0,0,0,0,8
2000 < 2100,RRc,0,0,0,4,0,0,0,0,0,0,4
2000 < 2100,contactBinary,0,0,0,0,0,0,2,0,0,0,2
2000 < 2100,detachedBinary,0,0,0,0,0,0,0,1,0,0,1
2000 < 2100,dsct,0,0,0,0,0,0,1,0,0,0,1
2000 < 2100,t2Cep,0,0,1,0,0,0,0,0,0,4,5
2100 < 2200,Mira,18,0,0,0,0,0,0,0,0,0,18
2100 < 2200,RRab,0,0,4,0,0,0,0,0,0,0,4
2100 < 2200,RRc,0,0,0,1,0,0,0,0,0,0,1
2100 < 2200,contactBinary,0,0,0,0,0,0,1,0,0,0,1
2100 < 2200,t2Cep,0,0,0,0,0,0,0,0,0,1,1
2200 < 2300,Mira,19,0,1,0,0,0,0,0,0,0,20
2200 < 2300,RRab,0,0,3,0,0,0,0,0,0,0,3
2200 < 2300,RRc,0,0,0,2,0,0,0,0,0,0,2
2200 < 2300,contactBinary,0,0,0,0,0,0,1,0,0,0,1
2300 < 2400,Mira,60,0,0,0,0,0,0,0,0,0,60
2300 < 2400,RRab,0,0,3,0,0,0,1,0,0,0,4
2300 < 2400,RRc,0,0,0,2,0,0,0,0,0,0,2
2300 < 2400,clasCep,1,0,0,0,0,0,0,0,0,0,1
2400 < 2500,Mira,13,0,0,0,0,0,0,0,0,0,13
2400 < 2500,RRab,0,0,4,0,0,0,0,0,0,0,4
2400 < 2500,RRc,0,0,0,5,0,0,0,0,0,0,5
2500 < 2600,Mira,35,0,0,0,0,0,0,0,0,0,35
2500 < 2600,RRab,0,0,2,0,0,0,0,0,0,0,2
2500 < 2600,RRc,0,0,0,6,0,0,0,0,0,0,6
2500 < 2600,contactBinary,0,0,0,0,0,0,2,0,0,0,2
2600 < 2700,Mira,13,0,0,0,0,0,0,0,0,0,13
2600 < 2700,RRab,0,0,2,0,0,0,0,0,0,0,2
2600 < 2700,RRc,0,0,0,1,0,0,0,0,0,0,1
2600 < 2700,contactBinary,0,0,1,0,0,0,2,1,0,0,4
2600 < 2700,t2Cep,0,0,1,0,0,0,0,0,0,1,2
2700 < 2800,Mira,118,0,0,0,0,0,0,0,0,0,118
2700 < 2800,RRab,0,0,5,0,0,0,0,0,0,0,5
2700 < 2800,RRc,0,0,0,3,0,0,0,0,0,0,3
2700 < 2800,contactBinary,0,0,0,0,0,0,7,0,0,0,7
2800 < 2900,Mira,31,0,0,0,0,0,0,0,0,0,31
2800 < 2900,RRab,0,0,4,0,0,0,0,0,0,0,4
2800 < 2900,RRc,0,0,0,1,0,0,0,0,0,0,1
2800 < 2900,contactBinary,0,0,0,0,0,0,1,0,0,0,1
2900 < 3000,Mira,37,0,0,0,0,0,0,0,0,0,37
2900 < 3000,RRab,0,0,5,0,0,0,0,0,0,0,5
2900 < 3000,RRc,0,0,0,2,0,0,0,0,0,0,2
2900 < 3000,t2Cep,0,0,0,0,0,0,0,0,0,1,1
300 < 400,Mira,708,0,0,0,0,0,0,0,0,0,708
300 < 400,OSARG,0,1239,0,0,46,0,0,0,0,0,1285
300 < 400,RRab,0,0,157,2,0,3,1,0,0,1,164
300 < 400,RRc,0,0,2,72,0,0,2,0,0,0,76
300 < 400,SRV,8,20,0,0,1623,7,0,1,0,0,1659
300 < 400,clasCep,0,0,2,2,0,121,2,0,0,1,128
300 < 400,contactBinary,0,0,2,0,0,0,1438,6,2,0,1448
300 < 400,detachedBinary,0,0,2,1,0,0,15,128,0,0,146
300 < 400,dsct,0,0,0,0,0,0,0,0,69,0,69
300 < 400,t2Cep,0,1,3,0,1,0,3,0,0,43,51
3000 < 3100,Mira,5,0,0,0,0,0,0,0,0,0,5
3000 < 3100,RRab,0,0,1,0,0,0,0,0,0,0,1
3000 < 3100,contactBinary,0,0,0,0,0,0,8,0,0,0,8
