No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,contactBinary,detachedBinary,dsct,t2Cep,All
600 < 700,contactBinary,0,0,1,0,0,0,182,1,0,0,184
600 < 700,detachedBinary,0,0,1,0,0,0,2,13,0,0,16
600 < 700,dsct,0,0,0,0,0,0,0,1,376,0,377
600 < 700,t2Cep,0,0,5,0,0,0,6,1,0,77,89
6000 < 6100,RRab,0,0,328,1,0,0,0,0,0,1,330
6000 < 6100,RRc,0,0,3,141,0,0,0,0,0,0,144
6000 < 6100,t2Cep,0,0,0,0,0,0,0,0,0,15,15
6100 < 6200,RRab,0,0,6,0,0,0,1,0,0,0,7
6100 < 6200,RRc,0,0,0,4,0,0,0,0,0,0,4
6200 < 6300,RRab,0,0,7,1,0,0,0,0,0,0,8
6200 < 6300,RRc,0,0,0,5,0,0,0,0,0,1,6
6200 < 6300,t2Cep,0,0,0,0,0,0,0,0,0,2,2
6300 < 6400,RRab,0,0,10,0,0,0,0,0,0,0,10
6300 < 6400,RRc,0,0,0,7,0,0,0,0,0,1,8
6300 < 6400,t2Cep,0,0,0,0,0,0,0,0,0,1,1
6400 < 6500,RRab,0,0,11,0,0,0,1,0,0,0,12
6400 < 6500,RRc,0,0,0,7,0,0,0,0,0,0,7
6400 < 6500,t2Cep,0,0,0,0,0,0,0,0,0,2,2
6500 < 6600,RRab,0,0,112,0,0,0,0,0,0,0,112
6500 < 6600,RRc,0,0,2,51,0,0,0,0,0,0,53
6500 < 6600,t2Cep,0,0,2,0,0,0,0,0,0,6,8
6600 < 6700,RRab,0,0,94,0,0,0,0,0,0,0,94
6600 < 6700,RRc,0,0,2,31,0,0,0,0,0,0,33
6600 < 6700,t2Cep,0,0,0,0,0,0,0,0,0,6,6
6700 < 6800,RRab,0,0,21,1,0,0,0,0,0,0,22
6700 < 6800,RRc,0,0,0,9,0,0,0,0,0,0,9
6700 < 6800,clasCep,0,0,0,0,0,1,0,0,0,0,1
6700 < 6800,t2Cep,0,0,1,0,0,0,0,0,0,20,21
6800 < 6900,RRab,0,0,3,0,0,0,0,0,0,0,3
6900 < 7000,RRab,0,0,1,0,0,0,0,0,0,0,1
700 < 800,Mira,550,0,0,0,1,0,0,0,0,0,551
700 < 800,OSARG,0,91,0,0,2,0,0,0,0,0,93
700 < 800,RRab,0,0,194,5,0,0,6,4,0,0,209
700 < 800,RRc,0,0,5,89,0,0,0,3,0,0,97
700 < 800,SRV,2,3,0,0,477,0,0,0,0,0,482
700 < 800,clasCep,0,0,1,0,0,1267,1,0,0,2,1271
700 < 800,contactBinary,0,0,0,0,0,0,1,0,0,0,1
700 < 800,detachedBinary,0,0,0,0,0,0,1,4,0,0,5
700 < 800,dsct,0,0,0,0,0,0,0,0,213,0,213
700 < 800,t2Cep,0,0,3,0,0,0,5,0,0,53,61
7000 < 7100,RRab,0,0,2,0,1,0,0,0,0,0,3
7100 < 7200,RRab,0,0,1,0,0,0,0,0,0,0,1
7100 < 7200,RRc,0,0,0,3,0,0,0,0,0,0,3
7100 < 7200,contactBinary,0,0,0,0,0,0,1,0,0,0,1
7100 < 7200,detachedBinary,0,0,0,0,0,0,0,1,0,0,1
7200 < 7300,RRab,0,0,2,0,0,0,0,0,0,0,2
7300 < 7400,RRab,0,0,3,0,0,0,0,0,0,0,3
7300 < 7400,RRc,0,0,0,1,0,0,0,0,0,0,1
7300 < 7400,t2Cep,0,0,0,0,0,0,0,0,0,1,1
7400 < 7500,RRab,0,0,5,0,0,0,0,0,0,0,5
7500 < 7600,RRab,0,0,3,0,0,0,0,0,0,0,3
7500 < 7600,RRc,0,0,0,1,0,0,0,0,0,0,1
7600 < 7700,RRab,0,0,1,0,0,0,0,0,0,0,1
7700 < 7800,RRab,0,0,2,0,0,0,0,0,0,0,2
7700 < 7800,RRc,0,0,0,2,0,0,0,0,0,0,2
7700 < 7800,t2Cep,0,0,0,0,0,0,0,0,0,1,1
7800 < 7900,RRab,0,0,4,0,0,0,0,0,0,0,4
7800 < 7900,RRc,0,0,0,1,0,0,0,0,0,0,1
7900 < 8000,RRab,0,0,4,0,0,0,0,0,0,0,4
7900 < 8000,RRc,0,0,0,1,0,0,0,0,0,0,1
800 < 900,Mira,352,0,0,0,0,0,0,0,0,0,352
800 < 900,RRab,0,0,513,12,0,0,8,1,1,0,535
800 < 900,RRc,0,0,9,206,0,0,6,0,0,0,221
800 < 900,SRV,4,0,0,0,939,0,0,0,0,0,943
800 < 900,clasCep,0,0,0,0,0,9,0,1,0,3,13
800 < 900,contactBinary,0,0,1,0,0,0,0,0,0,0,1
800 < 900,dsct,0,0,2,0,0,0,0,0,156,0,158
800 < 900,t2Cep,0,0,2,3,0,0,3,0,0,83,91
8000 < 8100,RRab,0,0,1,0,0,0,0,0,0,0,1
8000 < 8100,RRc,0,0,0,3,0,0,0,0,0,0,3
8100 < 8200,RRab,0,0,4,0,0,0,0,0,0,0,4
8200 < 8300,RRab,0,0,5,0,0,0,0,0,0,0,5
8200 < 8300,RRc,0,0,0,2,0,0,0,0,0,0,2
8200 < 8300,t2Cep,0,0,0,0,0,0,0,0,0,1,1
8300 < 8400,RRab,0,0,4,0,0,0,0,0,0,0,4
8300 < 8400,RRc,0,0,0,1,0,0,0,0,0,0,1
8400 < 8500,RRab,0,0,4,0,0,0,0,0,0,0,4
8500 < 8600,RRab,0,0,9,0,0,0,0,0,0,0,9
8500 < 8600,RRc,0,0,0,3,0,0,0,0,0,0,3
8600 < 8700,RRab,0,0,24,0,0,0,0,0,0,0,24
8600 < 8700,RRc,0,0,0,7,0,0,0,0,0,0,7
8600 < 8700,t2Cep,0,0,0,1,0,0,0,0,0,0,1
8700 < 8800,RRab,0,0,5,0,0,0,0,0,0,0,5
8700 < 8800,RRc,0,0,0,1,0,0,0,0,0,0,1
8800 < 8900,RRab,0,0,2,0,0,0,0,0,0,0,2
8800 < 8900,RRc,0,0,0,2,0,0,0,0,0,0,2
8900 < 9000,RRab,0,0,6,0,0,0,0,0,0,0,6
8900 < 9000,clasCep,0,0,0,1,0,0,0,0,0,0,1
900 < 1000,Mira,227,0,0,0,0,0,0,0,0,0,227
900 < 1000,RRab,0,0,153,2,0,0,0,1,0,0,156
900 < 1000,RRc,0,0,3,44,0,0,1,0,0,0,48
900 < 1000,SRV,1,0,0,0,42,0,0,0,0,0,43
900 < 1000,clasCep,0,0,0,0,0,2,0,0,0,0,2
900 < 1000,contactBinary,0,0,0,0,0,0,1,0,0,0,1
900 < 1000,detachedBinary,0,0,0,0,0,0,0,1,0,0,1
900 < 1000,dsct,0,0,1,0,0,0,0,0,169,0,170
900 < 1000,t2Cep,0,0,3,1,0,0,0,0,0,4,8
9000 < 9100,RRab,0,0,4,1,0,0,0,0,0,0,5
9000 < 9100,RRc,0,0,0,1,0,0,0,0,0,0,1
9000 < 9100,clasCep,0,0,0,0,0,1,0,0,0,0,1
9000 < 9100,t2Cep,0,0,1,0,0,0,0,0,0,0,1
9100 < 9200,RRab,0,0,11,0,0,0,0,0,0,0,11
9100 < 9200,RRc,0,0,0,3,0,0,0,0,0,0,3
9100 < 9200,t2Cep,0,0,0,0,0,0,0,0,0,1,1
9200 < 9300,RRab,0,0,14,1,0,0,0,0,0,0,15
9200 < 9300,RRc,0,0,0,9,0,0,0,0,0,0,9
9300 < 9400,RRab,0,0,208,2,0,0,0,0,0,0,210
9300 < 9400,RRc,0,0,1,98,0,0,0,0,0,0,99
9300 < 9400,t2Cep,0,0,0,0,0,0,0,0,0,12,12
9400 < 9500,RRab,0,0,2,0,0,0,0,0,0,0,2
9500 < 9600,RRab,0,0,3,0,0,0,0,0,0,0,3
9500 < 9600,RRc,0,0,0,1,0,0,0,0,0,0,1
9600 < 9700,RRc,0,0,1,3,0,0,0,0,0,0,4
9700 < 9800,RRab,0,0,2,0,0,0,0,0,0,0,2
9700 < 9800,RRc,0,0,1,0,0,0,0,0,0,0,1
9700 < 9800,t2Cep,0,0,0,0,0,0,0,0,0,1,1
9800 < 9900,RRab,0,0,2,0,0,0,0,0,0,0,2
9800 < 9900,RRc,0,0,0,1,0,0,0,0,0,0,1
9900 < 10000,RRab,0,0,1,0,0,0,0,0,0,0,1
All,,8495,8061,10189,3987,9273,7043,51614,17165,2784,7150,125761
